DATE,4 weeks,8 weeks,13 weeks,26 weeks,52 weeks
2012-02-02,0.07,,0.08,0.1,0.13
2012-02-03,0.06,,0.08,0.1,0.13
2012-02-06,0.04,,0.08,0.1,0.13
2012-02-07,0.06,,0.08,0.11,0.14
2012-02-08,0.06,,0.09,0.11,0.15
2012-02-09,0.06,,0.09,0.12,0.15
2012-02-10,0.05,,0.09,0.12,0.15
2012-02-13,0.05,,0.11,0.14,0.15
2012-02-14,0.09,,0.12,0.15,0.17
2012-02-15,0.09,,0.11,0.13,0.17
2012-02-16,0.04,,0.1,0.13,0.16
2012-02-17,0.03,,0.09,0.13,0.17
2012-02-21,0.02,,0.08,0.13,0.16
2012-02-22,0.07,,0.09,0.13,0.16
2012-02-23,0.07,,0.09,0.14,0.16
2012-02-24,0.08,,0.1,0.14,0.17
2012-02-27,0.07,,0.12,0.14,0.16
2012-02-28,0.1,,0.1,0.14,0.17
2012-02-29,0.08,,0.08,0.13,0.17
2012-03-01,0.07,,0.08,0.13,0.17
2012-03-02,0.06,,0.07,0.12,0.16
2012-03-05,0.07,,0.08,0.14,0.16
2012-03-06,0.06,,0.08,0.13,0.17
2012-03-07,0.06,,0.08,0.14,0.18
2012-03-08,0.07,,0.08,0.14,0.18
2012-03-09,0.06,,0.09,0.13,0.18
2012-03-12,0.05,,0.09,0.15,0.18
2012-03-13,0.06,,0.08,0.15,0.19
2012-03-14,0.08,,0.09,0.15,0.2
2012-03-15,0.08,,0.08,0.15,0.2
2012-03-16,0.07,,0.09,0.15,0.2
2012-03-19,0.07,,0.1,0.15,0.2
2012-03-20,0.08,,0.1,0.15,0.21
2012-03-21,0.09,,0.09,0.15,0.2
2012-03-22,0.06,,0.08,0.14,0.18
2012-03-23,0.06,,0.08,0.14,0.18
2012-03-26,0.06,,0.09,0.15,0.18
2012-03-27,0.07,,0.09,0.14,0.17
2012-03-28,0.05,,0.09,0.14,0.17
2012-03-29,0.02,,0.07,0.14,0.17
2012-03-30,0.05,,0.07,0.15,0.18
2012-04-02,0.05,,0.08,0.14,0.17
2012-04-03,0.07,,0.08,0.15,0.2
2012-04-04,0.08,,0.08,0.14,0.19
2012-04-05,0.07,,0.08,0.14,0.19
2012-04-06,0.06,,0.07,0.14,0.19
2012-04-09,0.07,,0.09,0.15,0.19
2012-04-10,0.08,,0.09,0.15,0.19
2012-04-11,0.08,,0.09,0.14,0.18
2012-04-12,0.08,,0.09,0.14,0.18
2012-04-13,0.07,,0.09,0.13,0.17
2012-04-16,0.07,,0.08,0.14,0.17
2012-04-17,0.07,,0.08,0.13,0.17
2012-04-18,0.05,,0.07,0.13,0.17
2012-04-19,0.04,,0.07,0.12,0.16
2012-04-20,0.04,,0.08,0.13,0.17
2012-04-23,0.04,,0.08,0.13,0.16
2012-04-24,0.07,,0.09,0.14,0.17
2012-04-25,0.08,,0.09,0.14,0.17
2012-04-26,0.09,,0.09,0.15,0.17
2012-04-27,0.07,,0.09,0.14,0.18
2012-04-30,0.07,,0.1,0.15,0.19
2012-05-01,0.07,,0.09,0.15,0.19
2012-05-02,0.06,,0.08,0.15,0.18
2012-05-03,0.05,,0.09,0.15,0.19
2012-05-04,0.05,,0.07,0.14,0.18
2012-05-07,0.06,,0.1,0.15,0.18
2012-05-08,0.08,,0.09,0.15,0.18
2012-05-09,0.07,,0.09,0.15,0.18
2012-05-10,0.08,,0.1,0.15,0.18
2012-05-11,0.07,,0.1,0.15,0.18
2012-05-14,0.07,,0.1,0.15,0.18
2012-05-15,0.08,,0.09,0.15,0.18
2012-05-16,0.08,,0.1,0.15,0.19
2012-05-17,0.08,,0.1,0.16,0.19
2012-05-18,0.06,,0.08,0.15,0.19
2012-05-21,0.06,,0.09,0.14,0.2
2012-05-22,0.07,,0.09,0.14,0.2
2012-05-23,0.07,,0.09,0.13,0.19
2012-05-24,0.08,,0.1,0.14,0.2
2012-05-25,0.07,,0.09,0.14,0.19
2012-05-29,0.06,,0.09,0.14,0.19
2012-05-30,0.05,,0.07,0.13,0.19
2012-05-31,0.03,,0.07,0.14,0.18
2012-06-01,0.03,,0.07,0.12,0.17
2012-06-04,0.04,,0.08,0.13,0.18
2012-06-05,0.05,,0.08,0.14,0.18
2012-06-06,0.05,,0.09,0.13,0.18
2012-06-07,0.04,,0.09,0.14,0.18
2012-06-08,0.04,,0.09,0.14,0.18
2012-06-11,0.04,,0.09,0.15,0.17
2012-06-12,0.06,,0.1,0.15,0.18
2012-06-13,0.07,,0.1,0.15,0.17
2012-06-14,0.08,,0.11,0.15,0.17
2012-06-15,0.05,,0.09,0.15,0.17
2012-06-18,0.05,,0.1,0.15,0.17
2012-06-19,0.06,,0.09,0.14,0.17
2012-06-20,0.06,,0.09,0.16,0.19
2012-06-21,0.05,,0.09,0.15,0.18
2012-06-22,0.05,,0.09,0.15,0.18
2012-06-25,0.05,,0.1,0.16,0.18
2012-06-26,0.07,,0.1,0.15,0.21
2012-06-27,0.06,,0.09,0.17,0.21
2012-06-28,0.02,,0.09,0.17,0.22
2012-06-29,0.04,,0.09,0.16,0.21
2012-07-02,0.05,,0.1,0.15,0.21
2012-07-03,0.08,,0.09,0.15,0.21
2012-07-05,0.07,,0.08,0.15,0.19
2012-07-06,0.06,,0.08,0.15,0.2
2012-07-09,0.06,,0.09,0.14,0.19
2012-07-10,0.07,,0.09,0.15,0.19
2012-07-11,0.07,,0.1,0.15,0.19
2012-07-12,0.08,,0.1,0.15,0.19
2012-07-13,0.08,,0.1,0.15,0.19
2012-07-16,0.03,,0.1,0.14,0.17
2012-07-17,0.08,,0.1,0.14,0.17
2012-07-18,0.07,,0.09,0.14,0.17
2012-07-19,0.06,,0.09,0.14,0.16
2012-07-20,0.07,,0.09,0.14,0.16
2012-07-23,0.07,,0.1,0.14,0.16
2012-07-24,0.08,,0.1,0.15,0.18
2012-07-25,0.08,,0.1,0.14,0.17
2012-07-26,0.08,,0.11,0.15,0.18
2012-07-27,0.07,,0.11,0.15,0.17
2012-07-30,0.05,,0.11,0.15,0.18
2012-07-31,0.07,,0.11,0.14,0.16
2012-08-01,0.07,,0.1,0.14,0.17
2012-08-02,0.04,,0.09,0.14,0.17
2012-08-03,0.02,,0.09,0.14,0.16
2012-08-06,0.04,,0.1,0.14,0.16
2012-08-07,0.09,,0.11,0.14,0.18
2012-08-08,0.09,,0.11,0.14,0.18
2012-08-09,0.1,,0.11,0.15,0.19
2012-08-10,0.1,,0.1,0.14,0.17
2012-08-13,0.1,,0.11,0.15,0.18
2012-08-14,0.11,,0.11,0.15,0.18
2012-08-15,0.11,,0.09,0.14,0.18
2012-08-16,0.1,,0.09,0.14,0.19
2012-08-17,0.09,,0.09,0.14,0.19
2012-08-20,0.09,,0.11,0.14,0.18
2012-08-21,0.1,,0.11,0.14,0.2
2012-08-22,0.1,,0.11,0.13,0.19
2012-08-23,0.1,,0.11,0.13,0.19
2012-08-24,0.1,,0.1,0.13,0.19
2012-08-27,0.1,,0.11,0.14,0.18
2012-08-28,0.12,,0.1,0.15,0.18
2012-08-29,0.12,,0.12,0.14,0.18
2012-08-30,0.12,,0.1,0.14,0.17
2012-08-31,0.09,,0.09,0.14,0.16
2012-09-04,0.1,,0.1,0.14,0.16
2012-09-05,0.11,,0.11,0.14,0.16
2012-09-06,0.1,,0.11,0.14,0.17
2012-09-07,0.09,,0.11,0.14,0.17
2012-09-10,0.09,,0.1,0.14,0.17
2012-09-11,0.09,,0.1,0.14,0.17
2012-09-12,0.09,,0.1,0.13,0.17
2012-09-13,0.1,,0.1,0.13,0.16
2012-09-14,0.08,,0.11,0.13,0.17
2012-09-17,0.05,,0.11,0.13,0.17
2012-09-18,0.08,,0.1,0.13,0.18
2012-09-19,0.08,,0.11,0.14,0.18
2012-09-20,0.06,,0.11,0.14,0.18
2012-09-21,0.05,,0.11,0.14,0.18
2012-09-24,0.02,,0.11,0.14,0.18
2012-09-25,0.06,,0.11,0.15,0.18
2012-09-26,0.05,,0.11,0.13,0.17
2012-09-27,0.05,,0.09,0.14,0.16
2012-09-28,0.06,,0.1,0.14,0.17
2012-10-01,0.05,,0.09,0.14,0.16
2012-10-02,0.09,,0.09,0.14,0.16
2012-10-03,0.09,,0.09,0.14,0.15
2012-10-04,0.1,,0.1,0.14,0.17
2012-10-05,0.1,,0.11,0.15,0.17
2012-10-09,0.11,,0.1,0.15,0.17
2012-10-10,0.12,,0.1,0.15,0.17
2012-10-11,0.12,,0.1,0.14,0.17
2012-10-12,0.12,,0.11,0.15,0.17
2012-10-15,0.1,,0.11,0.15,0.18
2012-10-16,0.13,,0.09,0.15,0.18
2012-10-17,0.13,,0.11,0.15,0.18
2012-10-18,0.12,,0.1,0.15,0.18
2012-10-19,0.11,,0.1,0.14,0.18
2012-10-22,0.1,,0.1,0.15,0.19
2012-10-23,0.11,,0.11,0.15,0.18
2012-10-24,0.13,,0.11,0.16,0.18
2012-10-25,0.13,,0.11,0.16,0.18
2012-10-26,0.12,,0.12,0.15,0.18
2012-10-29,0.13,,0.14,0.16,0.17
2012-10-31,0.09,,0.11,0.16,0.17
2012-11-01,0.06,,0.09,0.15,0.17
2012-11-02,0.08,,0.09,0.15,0.18
2012-11-05,0.09,,0.11,0.15,0.18
2012-11-06,0.12,,0.1,0.15,0.18
2012-11-07,0.12,,0.1,0.14,0.17
2012-11-08,0.13,,0.1,0.15,0.19
2012-11-09,0.13,,0.09,0.15,0.17
2012-11-13,0.12,,0.11,0.15,0.17
2012-11-14,0.15,,0.1,0.15,0.18
2012-11-15,0.13,,0.08,0.14,0.17
2012-11-16,0.07,,0.06,0.13,0.16
2012-11-19,0.06,,0.09,0.14,0.16
2012-11-20,0.15,,0.08,0.14,0.16
2012-11-21,0.17,,0.1,0.14,0.17
2012-11-23,0.16,,0.1,0.14,0.18
2012-11-26,0.15,,0.1,0.15,0.16
2012-11-27,0.17,,0.1,0.15,0.17
2012-11-28,0.17,,0.1,0.14,0.17
2012-11-29,0.16,,0.09,0.15,0.17
2012-11-30,0.11,,0.08,0.13,0.17
2012-12-03,0.13,,0.1,0.14,0.17
2012-12-04,0.07,,0.1,0.15,0.17
2012-12-05,0.07,,0.1,0.14,0.17
2012-12-06,0.07,,0.1,0.14,0.17
2012-12-07,0.06,,0.09,0.14,0.17
2012-12-10,0.05,,0.09,0.14,0.17
2012-12-11,0.04,,0.08,0.13,0.16
2012-12-12,0.04,,0.07,0.1,0.14
2012-12-13,0.02,,0.06,0.11,0.14
2012-12-14,0.01,,0.04,0.09,0.13
2012-12-17,0.01,,0.05,0.1,0.13
2012-12-18,0.04,,0.06,0.12,0.16
2012-12-19,0.03,,0.05,0.1,0.15
2012-12-20,0.02,,0.06,0.1,0.15
2012-12-21,0.02,,0.06,0.12,0.15
2012-12-24,0.02,,0.06,0.11,0.15
2012-12-26,0.05,,0.09,0.13,0.15
2012-12-27,0.01,,0.08,0.12,0.14
2012-12-28,0.0,,0.01,0.1,0.14
2012-12-31,0.02,,0.05,0.11,0.15
2013-01-02,0.07,,0.08,0.12,0.14
2013-01-03,0.06,,0.08,0.12,0.14
2013-01-04,0.06,,0.07,0.11,0.14
2013-01-07,0.05,,0.07,0.11,0.14
2013-01-08,0.06,,0.07,0.11,0.14
2013-01-09,0.04,,0.06,0.09,0.13
2013-01-10,0.05,,0.06,0.1,0.14
2013-01-11,0.04,,0.07,0.1,0.14
2013-01-14,0.05,,0.08,0.11,0.14
2013-01-15,0.09,,0.09,0.11,0.14
2013-01-16,0.07,,0.08,0.11,0.14
2013-01-17,0.05,,0.07,0.11,0.14
2013-01-18,0.04,,0.08,0.1,0.14
2013-01-22,0.03,,0.08,0.1,0.13
2013-01-23,0.06,,0.08,0.1,0.14
2013-01-24,0.06,,0.08,0.1,0.14
2013-01-25,0.06,,0.08,0.11,0.14
2013-01-28,0.03,,0.07,0.11,0.15
2013-01-29,0.03,,0.07,0.11,0.14
2013-01-30,0.04,,0.07,0.11,0.14
2013-01-31,0.04,,0.07,0.12,0.14
2013-02-01,0.02,,0.06,0.11,0.14
2013-02-04,0.03,,0.07,0.11,0.14
2013-02-05,0.06,,0.07,0.11,0.15
2013-02-06,0.06,,0.07,0.12,0.15
2013-02-07,0.03,,0.07,0.11,0.15
2013-02-08,0.03,,0.07,0.11,0.14
2013-02-11,0.05,,0.09,0.12,0.15
2013-02-12,0.08,,0.09,0.12,0.14
2013-02-13,0.09,,0.1,0.12,0.15
2013-02-14,0.1,,0.11,0.13,0.16
2013-02-15,0.09,,0.1,0.13,0.16
2013-02-19,0.09,,0.12,0.13,0.16
2013-02-20,0.12,,0.12,0.13,0.16
2013-02-21,0.12,,0.13,0.13,0.15
2013-02-22,0.11,,0.13,0.14,0.16
2013-02-25,0.09,,0.12,0.14,0.15
2013-02-26,0.11,,0.14,0.14,0.16
2013-02-27,0.11,,0.11,0.13,0.16
2013-02-28,0.07,,0.11,0.13,0.16
2013-03-01,0.07,,0.11,0.12,0.15
2013-03-04,0.06,,0.11,0.12,0.15
2013-03-05,0.09,,0.08,0.12,0.15
2013-03-06,0.09,,0.1,0.12,0.15
2013-03-07,0.1,,0.1,0.11,0.15
2013-03-08,0.09,,0.1,0.11,0.15
2013-03-11,0.09,,0.1,0.12,0.15
2013-03-12,0.1,,0.1,0.12,0.15
2013-03-13,0.09,,0.09,0.12,0.15
2013-03-14,0.08,,0.1,0.12,0.15
2013-03-15,0.07,,0.09,0.11,0.14
2013-03-18,0.07,,0.07,0.11,0.14
2013-03-19,0.08,,0.07,0.11,0.14
2013-03-20,0.08,,0.07,0.11,0.14
2013-03-21,0.08,,0.07,0.11,0.13
2013-03-22,0.07,,0.07,0.11,0.13
2013-03-25,0.06,,0.08,0.11,0.13
2013-03-26,0.08,,0.07,0.11,0.13
2013-03-27,0.06,,0.09,0.12,0.13
2013-03-28,0.04,,0.07,0.11,0.13
2013-04-01,0.06,,0.08,0.11,0.13
2013-04-02,0.06,,0.07,0.11,0.14
2013-04-03,0.06,,0.06,0.1,0.13
2013-04-04,0.07,,0.07,0.1,0.13
2013-04-05,0.05,,0.07,0.1,0.13
2013-04-08,0.05,,0.07,0.1,0.13
2013-04-09,0.06,,0.06,0.1,0.13
2013-04-10,0.07,,0.07,0.1,0.12
2013-04-11,0.06,,0.07,0.1,0.12
2013-04-12,0.05,,0.06,0.09,0.11
2013-04-15,0.04,,0.06,0.09,0.12
2013-04-16,0.06,,0.06,0.09,0.12
2013-04-17,0.05,,0.06,0.09,0.12
2013-04-18,0.03,,0.05,0.09,0.11
2013-04-19,0.04,,0.05,0.09,0.11
2013-04-22,0.04,,0.05,0.09,0.11
2013-04-23,0.04,,0.05,0.09,0.11
2013-04-24,0.05,,0.06,0.09,0.12
2013-04-25,0.04,,0.05,0.08,0.11
2013-04-26,0.04,,0.05,0.09,0.11
2013-04-29,0.03,,0.05,0.08,0.11
2013-04-30,0.03,,0.05,0.09,0.11
2013-05-01,0.03,,0.06,0.08,0.11
2013-05-02,0.02,,0.05,0.08,0.11
2013-05-03,0.02,,0.05,0.08,0.11
2013-05-06,0.01,,0.04,0.08,0.11
2013-05-07,0.01,,0.04,0.08,0.1
2013-05-08,0.01,,0.04,0.08,0.11
2013-05-09,0.02,,0.04,0.08,0.11
2013-05-10,0.02,,0.04,0.08,0.11
2013-05-13,0.02,,0.05,0.08,0.12
2013-05-14,0.01,,0.05,0.09,0.11
2013-05-15,0.01,,0.04,0.09,0.11
2013-05-16,0.0,,0.03,0.08,0.11
2013-05-17,0.01,,0.04,0.08,0.11
2013-05-20,0.01,,0.05,0.09,0.11
2013-05-21,0.04,,0.04,0.09,0.11
2013-05-22,0.04,,0.04,0.08,0.1
2013-05-23,0.03,,0.05,0.08,0.11
2013-05-24,0.03,,0.04,0.07,0.11
2013-05-28,0.02,,0.05,0.09,0.12
2013-05-29,0.04,,0.05,0.08,0.14
2013-05-30,0.02,,0.04,0.07,0.13
2013-05-31,0.03,,0.04,0.07,0.14
2013-06-03,0.03,,0.05,0.08,0.14
2013-06-04,0.05,,0.04,0.08,0.14
2013-06-05,0.04,,0.05,0.08,0.14
2013-06-06,0.04,,0.05,0.08,0.13
2013-06-07,0.04,,0.04,0.07,0.13
2013-06-10,0.04,,0.05,0.08,0.13
2013-06-11,0.05,,0.05,0.08,0.13
2013-06-12,0.04,,0.05,0.08,0.13
2013-06-13,0.04,,0.05,0.08,0.13
2013-06-14,0.04,,0.05,0.08,0.12
2013-06-17,0.05,,0.05,0.08,0.12
2013-06-18,0.04,,0.05,0.08,0.12
2013-06-19,0.04,,0.05,0.08,0.12
2013-06-20,0.03,,0.05,0.09,0.13
2013-06-21,0.02,,0.05,0.09,0.12
2013-06-24,0.01,,0.06,0.11,0.14
2013-06-25,0.03,,0.06,0.11,0.17
2013-06-26,0.02,,0.06,0.11,0.16
2013-06-27,0.02,,0.06,0.11,0.15
2013-06-28,0.02,,0.04,0.1,0.15
2013-07-01,0.01,,0.04,0.09,0.15
2013-07-02,0.02,,0.03,0.08,0.14
2013-07-03,0.03,,0.05,0.08,0.14
2013-07-05,0.03,,0.04,0.08,0.14
2013-07-08,0.02,,0.05,0.07,0.13
2013-07-09,0.04,,0.04,0.08,0.13
2013-07-10,0.03,,0.04,0.08,0.12
2013-07-11,0.02,,0.04,0.07,0.12
2013-07-12,0.02,,0.04,0.07,0.11
2013-07-15,0.02,,0.04,0.07,0.1
2013-07-16,0.02,,0.03,0.07,0.09
2013-07-17,0.02,,0.03,0.08,0.1
2013-07-18,0.01,,0.03,0.07,0.1
2013-07-19,0.01,,0.03,0.07,0.1
2013-07-22,0.01,,0.04,0.07,0.09
2013-07-23,0.02,,0.02,0.07,0.12
2013-07-24,0.02,,0.03,0.07,0.12
2013-07-25,0.02,,0.02,0.06,0.12
2013-07-26,0.02,,0.03,0.07,0.11
2013-07-29,0.01,,0.03,0.07,0.11
2013-07-30,0.03,,0.04,0.07,0.11
2013-07-31,0.03,,0.04,0.08,0.11
2013-08-01,0.02,,0.04,0.08,0.12
2013-08-02,0.02,,0.04,0.07,0.11
2013-08-05,0.03,,0.05,0.08,0.11
2013-08-06,0.05,,0.04,0.08,0.11
2013-08-07,0.05,,0.05,0.08,0.11
2013-08-08,0.05,,0.05,0.07,0.11
2013-08-09,0.05,,0.05,0.07,0.1
2013-08-12,0.05,,0.06,0.08,0.11
2013-08-13,0.06,,0.06,0.08,0.11
2013-08-14,0.06,,0.05,0.07,0.11
2013-08-15,0.05,,0.05,0.08,0.12
2013-08-16,0.05,,0.05,0.08,0.12
2013-08-19,0.03,,0.06,0.08,0.12
2013-08-20,0.03,,0.04,0.07,0.13
2013-08-21,0.02,,0.04,0.07,0.14
2013-08-22,0.01,,0.03,0.06,0.14
2013-08-23,0.02,,0.03,0.06,0.14
2013-08-26,0.03,,0.04,0.07,0.13
2013-08-27,0.04,,0.05,0.07,0.12
2013-08-28,0.04,,0.03,0.07,0.13
2013-08-29,0.03,,0.02,0.06,0.13
2013-08-30,0.02,,0.03,0.05,0.12
2013-09-03,0.03,,0.02,0.05,0.13
2013-09-04,0.02,,0.02,0.05,0.13
2013-09-05,0.03,,0.02,0.06,0.15
2013-09-06,0.02,,0.02,0.05,0.13
2013-09-09,0.02,,0.02,0.04,0.11
2013-09-10,0.01,,0.02,0.04,0.11
2013-09-11,0.01,,0.02,0.05,0.11
2013-09-12,0.01,,0.01,0.02,0.11
2013-09-13,0.01,,0.01,0.02,0.11
2013-09-16,0.01,,0.02,0.04,0.11
2013-09-17,0.01,,0.01,0.04,0.12
2013-09-18,0.01,,0.01,0.04,0.11
2013-09-19,0.0,,0.01,0.03,0.1
2013-09-20,0.01,,0.01,0.05,0.11
2013-09-23,0.01,,0.02,0.05,0.1
2013-09-24,0.02,,0.02,0.05,0.1
2013-09-25,0.02,,0.02,0.05,0.1
2013-09-26,0.04,,0.0,0.03,0.09
2013-09-27,0.03,,0.02,0.03,0.09
2013-09-30,0.03,,0.02,0.04,0.09
2013-10-01,0.1,,0.02,0.04,0.09
2013-10-02,0.08,,0.02,0.05,0.1
2013-10-03,0.13,,0.03,0.05,0.1
2013-10-04,0.12,,0.03,0.04,0.1
2013-10-07,0.15,,0.03,0.06,0.11
2013-10-08,0.27,,0.05,0.09,0.14
2013-10-09,0.27,,0.05,0.08,0.14
2013-10-10,0.26,,0.05,0.07,0.13
2013-10-11,0.26,,0.08,0.07,0.13
2013-10-15,0.35,,0.14,0.16,0.15
2013-10-16,0.14,,0.1,0.11,0.15
2013-10-17,0.01,,0.05,0.08,0.13
2013-10-18,0.01,,0.04,0.08,0.12
2013-10-21,0.02,,0.04,0.07,0.11
2013-10-22,0.04,,0.04,0.07,0.1
2013-10-23,0.02,,0.04,0.07,0.11
2013-10-24,0.02,,0.03,0.07,0.11
2013-10-25,0.02,,0.04,0.08,0.1
2013-10-28,0.02,,0.04,0.08,0.1
2013-10-29,0.06,,0.04,0.08,0.1
2013-10-30,0.05,,0.04,0.09,0.1
2013-10-31,0.03,,0.04,0.08,0.09
2013-11-01,0.03,,0.04,0.08,0.09
2013-11-04,0.02,,0.05,0.09,0.09
2013-11-05,0.06,,0.05,0.08,0.09
2013-11-06,0.05,,0.05,0.09,0.1
2013-11-07,0.04,,0.05,0.09,0.1
2013-11-08,0.04,,0.06,0.09,0.11
2013-11-12,0.05,,0.08,0.1,0.12
2013-11-13,0.06,,0.08,0.1,0.13
2013-11-14,0.06,,0.08,0.1,0.13
2013-11-15,0.06,,0.08,0.1,0.13
2013-11-18,0.04,,0.09,0.1,0.13
2013-11-19,0.05,,0.08,0.1,0.14
2013-11-20,0.06,,0.08,0.11,0.12
2013-11-21,0.02,,0.07,0.1,0.12
2013-11-22,0.02,,0.07,0.1,0.12
2013-11-25,0.03,,0.08,0.11,0.13
2013-11-26,0.07,,0.07,0.11,0.12
2013-11-27,0.06,,0.07,0.11,0.12
2013-11-29,0.05,,0.06,0.11,0.12
2013-12-02,0.02,,0.05,0.1,0.12
2013-12-03,0.04,,0.06,0.1,0.12
2013-12-04,0.04,,0.06,0.1,0.13
2013-12-05,0.02,,0.06,0.1,0.12
2013-12-06,0.03,,0.06,0.1,0.12
2013-12-09,0.03,,0.07,0.1,0.12
2013-12-10,0.03,,0.07,0.1,0.14
2013-12-11,0.02,,0.07,0.1,0.13
2013-12-12,0.01,,0.07,0.09,0.14
2013-12-13,0.02,,0.07,0.09,0.14
2013-12-16,0.01,,0.07,0.09,0.13
2013-12-17,0.02,,0.07,0.09,0.14
2013-12-18,0.01,,0.07,0.1,0.13
2013-12-19,0.01,,0.06,0.09,0.13
2013-12-20,0.01,,0.07,0.09,0.13
2013-12-23,0.01,,0.07,0.09,0.13
2013-12-24,0.01,,0.07,0.09,0.13
2013-12-26,0.0,,0.07,0.09,0.12
2013-12-27,0.0,,0.07,0.09,0.11
2013-12-30,0.01,,0.07,0.1,0.12
2013-12-31,0.01,,0.07,0.1,0.12
2014-01-02,0.01,,0.07,0.09,0.12
2014-01-03,0.01,,0.07,0.1,0.12
2014-01-06,0.01,,0.05,0.08,0.11
2014-01-07,0.01,,0.04,0.08,0.13
2014-01-08,0.0,,0.05,0.08,0.13
2014-01-09,0.01,,0.04,0.06,0.13
2014-01-10,0.01,,0.05,0.06,0.12
2014-01-13,0.0,,0.03,0.06,0.11
2014-01-14,0.0,,0.04,0.06,0.11
2014-01-15,0.01,,0.04,0.06,0.12
2014-01-16,0.01,,0.04,0.07,0.11
2014-01-17,0.01,,0.05,0.07,0.11
2014-01-21,0.01,,0.04,0.07,0.11
2014-01-22,0.0,,0.04,0.07,0.1
2014-01-23,0.01,,0.04,0.05,0.1
2014-01-24,0.04,,0.04,0.06,0.1
2014-01-27,0.04,,0.05,0.07,0.1
2014-01-28,0.05,,0.05,0.07,0.1
2014-01-29,0.04,,0.04,0.07,0.1
2014-01-30,0.04,,0.02,0.06,0.09
2014-01-31,0.03,,0.02,0.06,0.09
2014-02-03,0.04,,0.05,0.07,0.1
2014-02-04,0.12,,0.06,0.07,0.12
2014-02-05,0.13,,0.07,0.07,0.12
2014-02-06,0.07,,0.07,0.08,0.13
2014-02-07,0.1,,0.08,0.09,0.12
2014-02-10,0.07,,0.07,0.1,0.12
2014-02-11,0.05,,0.05,0.1,0.12
2014-02-12,0.01,,0.05,0.09,0.12
2014-02-13,0.01,,0.03,0.08,0.12
2014-02-14,0.01,,0.02,0.07,0.11
2014-02-18,0.02,,0.05,0.08,0.11
2014-02-19,0.04,,0.06,0.09,0.1
2014-02-20,0.02,,0.05,0.08,0.11
2014-02-21,0.02,,0.05,0.08,0.11
2014-02-24,0.02,,0.05,0.08,0.1
2014-02-25,0.04,,0.05,0.08,0.1
2014-02-26,0.04,,0.05,0.08,0.1
2014-02-27,0.04,,0.04,0.07,0.1
2014-02-28,0.04,,0.05,0.08,0.11
2014-03-03,0.04,,0.05,0.08,0.11
2014-03-04,0.06,,0.05,0.08,0.12
2014-03-05,0.06,,0.06,0.09,0.13
2014-03-06,0.06,,0.05,0.08,0.12
2014-03-07,0.06,,0.06,0.09,0.13
2014-03-10,0.05,,0.05,0.08,0.12
2014-03-11,0.06,,0.05,0.08,0.13
2014-03-12,0.05,,0.05,0.08,0.12
2014-03-13,0.06,,0.05,0.08,0.12
2014-03-14,0.05,,0.05,0.08,0.12
2014-03-17,0.05,,0.06,0.08,0.12
2014-03-18,0.07,,0.05,0.07,0.12
2014-03-19,0.07,,0.06,0.09,0.14
2014-03-20,0.06,,0.06,0.09,0.13
2014-03-21,0.05,,0.06,0.08,0.13
2014-03-24,0.05,,0.06,0.08,0.13
2014-03-25,0.05,,0.05,0.08,0.12
2014-03-26,0.05,,0.05,0.07,0.11
2014-03-27,0.02,,0.04,0.06,0.11
2014-03-28,0.03,,0.04,0.06,0.12
2014-03-31,0.03,,0.05,0.07,0.12
2014-04-01,0.02,,0.04,0.06,0.13
2014-04-02,0.02,,0.02,0.06,0.12
2014-04-03,0.03,,0.02,0.05,0.11
2014-04-04,0.03,,0.03,0.05,0.11
2014-04-07,0.03,,0.03,0.06,0.11
2014-04-08,0.04,,0.03,0.06,0.11
2014-04-09,0.03,,0.04,0.05,0.1
2014-04-10,0.03,,0.04,0.06,0.09
2014-04-11,0.04,,0.04,0.06,0.09
2014-04-14,0.03,,0.04,0.06,0.1
2014-04-15,0.03,,0.04,0.05,0.1
2014-04-16,0.03,,0.04,0.05,0.1
2014-04-17,0.02,,0.03,0.05,0.1
2014-04-21,0.02,,0.04,0.06,0.1
2014-04-22,0.02,,0.03,0.06,0.1
2014-04-23,0.02,,0.02,0.05,0.1
2014-04-24,0.0,,0.01,0.04,0.09
2014-04-25,0.01,,0.03,0.04,0.1
2014-04-28,0.0,,0.03,0.05,0.09
2014-04-29,0.02,,0.02,0.05,0.11
2014-04-30,0.02,,0.03,0.05,0.11
2014-05-01,0.02,,0.03,0.05,0.1
2014-05-02,0.01,,0.02,0.05,0.1
2014-05-05,0.01,,0.03,0.05,0.11
2014-05-06,0.03,,0.03,0.05,0.1
2014-05-07,0.03,,0.03,0.05,0.1
2014-05-08,0.02,,0.03,0.05,0.1
2014-05-09,0.02,,0.03,0.05,0.1
2014-05-12,0.02,,0.03,0.05,0.09
2014-05-13,0.03,,0.03,0.05,0.09
2014-05-14,0.02,,0.03,0.05,0.09
2014-05-15,0.01,,0.03,0.05,0.08
2014-05-16,0.01,,0.03,0.05,0.08
2014-05-19,0.01,,0.03,0.05,0.08
2014-05-20,0.04,,0.03,0.06,0.08
2014-05-21,0.04,,0.04,0.06,0.08
2014-05-22,0.03,,0.03,0.05,0.08
2014-05-23,0.04,,0.04,0.05,0.09
2014-05-27,0.03,,0.04,0.06,0.08
2014-05-28,0.04,,0.04,0.05,0.1
2014-05-29,0.05,,0.04,0.05,0.1
